,date,price
387,20-Jun-95,5.48
388,19-Jun-95,5.51
389,16-Jun-95,5.43
390,15-Jun-95,5.46
391,14-Jun-95,5.31
392,13-Jun-95,5.37
393,12-Jun-95,5.37
394,09-Jun-95,5.44
395,08-Jun-95,5.31
396,07-Jun-95,5.36
397,06-Jun-95,5.29
398,05-Jun-95,5.32
399,02-Jun-95,5.23
400,01-Jun-95,5.35
401,31-May-95,5.29
402,30-May-95,5.28
403,26-May-95,5.44
404,25-May-95,5.45
405,24-May-95,5.5
406,23-May-95,5.39
407,22-May-95,5.28
408,19-May-95,5.36
409,18-May-95,5.36
410,17-May-95,5.36
411,16-May-95,5.41
412,15-May-95,5.42
413,12-May-95,5.28
414,11-May-95,5.33
415,10-May-95,5.4
416,09-May-95,5.45
417,08-May-95,6
418,05-May-95,6.05
419,04-May-95,6.1
420,03-May-95,5.96
421,02-May-95,5.9
422,01-May-95,5.85
423,28-Apr-95,5.72
424,27-Apr-95,5.74
425,26-Apr-95,5.58
426,25-Apr-95,5.7
427,24-Apr-95,5.65
428,21-Apr-95,5.67
429,20-Apr-95,5.68
430,19-Apr-95,5.77
431,18-Apr-95,5.85
432,17-Apr-95,5.71
433,14-Apr-95,5.335
434,13-Apr-95,5.36
435,12-Apr-95,5.32
436,11-Apr-95,5.33
437,10-Apr-95,5.24
438,07-Apr-95,5.38
439,06-Apr-95,5.41
440,05-Apr-95,5.29
441,04-Apr-95,5.29
442,03-Apr-95,5.285
443,01-Apr-95,5.25
444,31-Mar-95,4.77
445,31-Dec-96,4.77
446,30-Dec-96,4.79
447,27-Dec-96,4.89
448,26-Dec-96,4.83
449,24-Dec-96,4.83
450,23-Dec-96,4.83
451,20-Dec-96,4.82
452,19-Dec-96,4.86
453,18-Dec-96,4.85
454,17-Dec-96,4.85
455,16-Dec-96,4.8
456,13-Dec-96,4.82
457,12-Dec-96,4.85
458,11-Dec-96,4.8
459,10-Dec-96,4.81
460,09-Dec-96,4.78
461,06-Dec-96,4.77
462,05-Dec-96,4.85
463,04-Dec-96,4.82
464,03-Dec-96,4.81
465,02-Dec-96,4.7
466,29-Nov-96,4.73
467,28-Nov-96,4.73
468,27-Nov-96,4.73
469,26-Nov-96,4.72
470,25-Nov-96,4.74
471,22-Nov-96,4.86
472,21-Nov-96,4.91
473,20-Nov-96,4.94
474,19-Nov-96,4.88
475,18-Nov-96,4.9
476,15-Nov-96,4.84
477,14-Nov-96,4.88
478,13-Nov-96,4.9
479,12-Nov-96,4.88
480,11-Nov-96,4.9
481,08-Nov-96,4.81
482,07-Nov-96,4.76
483,06-Nov-96,4.79
484,05-Nov-96,4.79
485,04-Nov-96,4.8
486,01-Nov-96,4.8
487,31-Oct-96,4.8
488,30-Oct-96,4.82
489,29-Oct-96,4.81
490,28-Oct-96,4.92
491,25-Oct-96,4.92
492,24-Oct-96,4.91
493,23-Oct-96,4.96
494,22-Oct-96,4.96
495,21-Oct-96,4.92
496,18-Oct-96,4.88
497,17-Oct-96,4.92
498,16-Oct-96,5.05
499,15-Oct-96,5.01
500,14-Oct-96,5.02
501,11-Oct-96,5.04
502,10-Oct-96,5.05
503,09-Oct-96,4.95
504,08-Oct-96,4.89
505,07-Oct-96,4.87
506,04-Oct-96,4.86
507,03-Oct-96,4.9
508,02-Oct-96,4.93
509,01-Oct-96,4.9
510,30-Sep-96,4.86
511,27-Sep-96,4.9
512,26-Sep-96,4.87
513,25-Sep-96,4.9
514,24-Sep-96,4.88
515,23-Sep-96,4.88
516,20-Sep-96,4.86
517,19-Sep-96,4.91
518,18-Sep-96,5.07
519,17-Sep-96,5.06
520,16-Sep-96,5.04
521,13-Sep-96,5.02
522,12-Sep-96,5.02
523,11-Sep-96,5.1
524,10-Sep-96,5.08
525,09-Sep-96,5.07
526,06-Sep-96,5.1
527,05-Sep-96,5.14
528,04-Sep-96,5.18
529,03-Sep-96,5.16
530,02-Sep-96,5.17
531,30-Aug-96,5.15
532,29-Aug-96,5.19
533,28-Aug-96,5.19
534,27-Aug-96,5.25
535,26-Aug-96,5.26
536,23-Aug-96,5.21
537,22-Aug-96,5.21
538,21-Aug-96,5.17
539,20-Aug-96,5.2
540,19-Aug-96,5.21
541,16-Aug-96,5.09
542,15-Aug-96,5.06
543,14-Aug-96,5.05
544,13-Aug-96,5.08
545,12-Aug-96,5.07
546,09-Aug-96,5.06
547,08-Aug-96,5.03
548,07-Aug-96,5.05
549,06-Aug-96,5.04
550,05-Aug-96,5.09
551,02-Aug-96,5.0625
552,01-Aug-96,5.11
553,31-Jul-96,5.11
554,30-Jul-96,5.06
555,29-Jul-96,5.07
556,26-Jul-96,5.1
557,25-Jul-96,4.99
558,24-Jul-96,4.98
559,23-Jul-96,4.98
560,22-Jul-96,5.01
561,19-Jul-96,5.02
562,18-Jul-96,5
563,17-Jul-96,4.99
564,16-Jul-96,5.11
565,15-Jul-96,5.07
566,12-Jul-96,5.11
567,11-Jul-96,5.13
568,10-Jul-96,5.09
569,09-Jul-96,5.1
570,08-Jul-96,5.07
571,05-Jul-96,5.07
572,04-Jul-96,5.08
573,03-Jul-96,5.12
574,02-Jul-96,5.09
575,01-Jul-96,5.06
576,28-Jun-96,5.03
577,27-Jun-96,5.02
578,26-Jun-96,5.08
579,25-Jun-96,5.17
580,24-Jun-96,5.16
581,21-Jun-96,5.13
582,20-Jun-96,5.14
583,19-Jun-96,5.13
584,18-Jun-96,5.2
585,17-Jun-96,5.19
586,14-Jun-96,5.19
587,13-Jun-96,5.06
588,12-Jun-96,5.08
589,11-Jun-96,5.1
590,10-Jun-96,5.19
591,07-Jun-96,5.18
592,06-Jun-96,5.19
593,05-Jun-96,5.16
594,04-Jun-96,5.21
595,03-Jun-96,5.38
596,31-May-96,5.32
597,30-May-96,5.34
598,29-May-96,5.33
599,28-May-96,5.36
600,24-May-96,5.32
601,23-May-96,5.33
602,22-May-96,5.31
603,21-May-96,5.28
604,20-May-96,5.28
605,17-May-96,5.33
606,16-May-96,5.35
607,15-May-96,5.39
608,14-May-96,5.38
609,13-May-96,5.37
610,10-May-96,5.35
611,09-May-96,5.42
612,08-May-96,5.44
613,07-May-96,5.48
614,06-May-96,5.46
615,03-May-96,5.44
616,02-May-96,5.36
617,01-May-96,5.36
618,30-Apr-96,5.33
619,29-Apr-96,5.29
620,26-Apr-96,5.34
621,25-Apr-96,5.39
622,24-Apr-96,5.3
623,23-Apr-96,5.35
624,22-Apr-96,5.34
625,19-Apr-96,5.27
626,18-Apr-96,5.28
627,17-Apr-96,5.3
628,16-Apr-96,5.29
629,15-Apr-96,5.48
630,12-Apr-96,5.51
631,11-Apr-96,5.56
632,10-Apr-96,5.48
633,09-Apr-96,5.45
634,08-Apr-96,5.44
635,04-Apr-96,5.42
636,03-Apr-96,5.51
637,02-Apr-96,5.5
638,01-Apr-96,5.54
639,29-Mar-96,5.53
640,28-Mar-96,5.52
641,27-Mar-96,5.67
642,26-Mar-96,5.7
643,25-Mar-96,5.61
644,22-Mar-96,5.64
645,21-Mar-96,5.59
646,20-Mar-96,5.57
647,19-Mar-96,5.54
648,18-Mar-96,5.55
649,15-Mar-96,5.58
650,14-Mar-96,5.57
651,13-Mar-96,5.55
652,12-Mar-96,5.49
653,11-Mar-96,5.5
654,08-Mar-96,5.49
655,07-Mar-96,5.38
656,06-Mar-96,5.38
657,05-Mar-96,5.37
658,04-Mar-96,5.4
659,01-Mar-96,5.5
660,29-Feb-96,5.53
661,28-Feb-96,5.47
662,27-Feb-96,5.51
663,26-Feb-96,5.49
664,23-Feb-96,5.45
665,21-Feb-96,5.52
666,19-Feb-96,5.7
667,16-Feb-96,5.66
668,15-Feb-96,5.7
669,14-Feb-96,5.72
670,13-Feb-96,5.68
671,12-Feb-96,5.66
672,09-Feb-96,5.65
673,08-Feb-96,5.71
674,07-Feb-96,5.72
675,06-Feb-96,5.79
676,05-Feb-96,5.8
677,02-Feb-96,5.82
678,01-Feb-96,5.78
679,31-Jan-96,5.57
680,30-Jan-96,5.54
681,29-Jan-96,5.53
682,26-Jan-96,5.53
683,25-Jan-96,5.58
684,24-Jan-96,5.49
685,23-Jan-96,5.55
686,22-Jan-96,5.58
687,19-Jan-96,5.44
688,18-Jan-96,5.42
689,17-Jan-96,5.49
690,16-Jan-96,5.46
691,15-Jan-96,5.43
692,12-Jan-96,5.44
693,11-Jan-96,5.49
694,10-Jan-96,5.59
695,09-Jan-96,5.53
696,08-Jan-96,5.53
697,05-Jan-96,5.51
698,04-Jan-96,5.36
699,03-Jan-96,5.36
700,02-Jan-96,5.38
701,31-Dec-97,5.98
702,30-Dec-97,6.19
703,29-Dec-97,6.33
704,26-Dec-97,6.35
705,24-Dec-97,6.38
706,23-Dec-97,6.24
707,22-Dec-97,6.03
708,19-Dec-97,6.06
709,18-Dec-97,6.07
710,17-Dec-97,5.98
711,16-Dec-97,5.98
712,15-Dec-97,5.91
713,12-Dec-97,5.87
714,11-Dec-97,5.83
715,10-Dec-97,5.89
716,09-Dec-97,5.47
717,08-Dec-97,5.39
718,05-Dec-97,5.41
719,04-Dec-97,5.28
720,03-Dec-97,5.3
721,02-Dec-97,5.3
722,01-Dec-97,5.3
723,28-Nov-97,5.26
724,27-Nov-97,5.26
725,26-Nov-97,5.26
726,25-Nov-97,5.25
727,24-Nov-97,5.4
728,21-Nov-97,5.44
729,20-Nov-97,5.24
730,19-Nov-97,5.23
731,18-Nov-97,5.11
732,17-Nov-97,5.13
733,14-Nov-97,5.1
734,13-Nov-97,5.14
735,12-Nov-97,4.91
736,11-Nov-97,4.92
737,10-Nov-97,4.87
738,07-Nov-97,4.86
739,06-Nov-97,4.91
740,05-Nov-97,4.88
741,04-Nov-97,4.86
742,03-Nov-97,4.87
743,31-Oct-97,4.75
744,30-Oct-97,4.88
745,29-Oct-97,4.8
746,28-Oct-97,4.82
747,27-Oct-97,4.8
748,24-Oct-97,4.79
749,23-Oct-97,4.94
750,22-Oct-97,5.04
751,21-Oct-97,4.98
752,20-Oct-97,4.94
753,17-Oct-97,4.96
754,16-Oct-97,4.92
755,15-Oct-97,5.08
756,14-Oct-97,5.09
757,13-Oct-97,5.15
758,10-Oct-97,5.2
759,09-Oct-97,5.13
760,08-Oct-97,5.23
761,07-Oct-97,5.2
762,06-Oct-97,5.19
763,03-Oct-97,5.29
764,02-Oct-97,5.16
765,01-Oct-97,5.17
766,30-Sep-97,5.23
767,29-Sep-97,5.11
768,26-Sep-97,4.81
769,25-Sep-97,4.78
770,24-Sep-97,4.69
771,23-Sep-97,4.7
772,22-Sep-97,4.69
773,19-Sep-97,4.72
774,18-Sep-97,4.69
775,17-Sep-97,4.59
776,16-Sep-97,4.58
777,15-Sep-97,4.74
778,12-Sep-97,4.76
779,11-Sep-97,4.75
780,10-Sep-97,4.73
781,09-Sep-97,4.74
782,08-Sep-97,4.68
783,05-Sep-97,4.71
784,04-Sep-97,4.68
785,03-Sep-97,4.67
786,02-Sep-97,4.63
787,29-Aug-97,4.63
788,28-Aug-97,4.67
789,27-Aug-97,4.65
790,26-Aug-97,4.67
791,25-Aug-97,4.7
792,22-Aug-97,4.69
793,21-Aug-97,4.52
794,20-Aug-97,4.52
795,19-Aug-97,4.52
796,18-Aug-97,4.51
797,15-Aug-97,4.57
798,14-Aug-97,4.42
799,13-Aug-97,4.52
800,12-Aug-97,4.44
801,11-Aug-97,4.46
802,08-Aug-97,4.39
803,07-Aug-97,4.39
804,06-Aug-97,4.35
805,05-Aug-97,4.33
806,04-Aug-97,4.5
807,01-Aug-97,4.48
808,31-Jul-97,4.49
809,30-Jul-97,4.38
810,29-Jul-97,4.33
811,28-Jul-97,4.37
812,25-Jul-97,4.31
813,24-Jul-97,4.28
814,23-Jul-97,4.3
815,22-Jul-97,4.31
816,21-Jul-97,4.26
817,18-Jul-97,4.27
818,17-Jul-97,4.25
819,16-Jul-97,4.26
820,15-Jul-97,4.3
821,14-Jul-97,4.28
822,11-Jul-97,4.37
823,10-Jul-97,4.38
824,09-Jul-97,4.33
825,08-Jul-97,4.35
826,07-Jul-97,4.28
827,04-Jul-97,4.54
828,03-Jul-97,4.56
